Cost,Location,Provider,Rooms,Metres,Url
710 €,"Sternstraße, Gesundbrunnen, Berlin (13359)",HOMELIKE INTERNET GmbH,1 Zimmer,13 m²,https://www.immowelt.de/expose/5af907d3-138d-4fa3-b241-689bac7dabf1
1400 €,"Grüntaler Straße 58, Gesundbrunnen, Berlin (13359)",AGROMEX Invest GmbH,2 Zimmer,50 m²,https://www.immowelt.de/expose/72089d85-438d-4095-b57c-631af1a9ddd4
615 €,"Bärbel-Bohley-Ring 26, Gesundbrunnen, Berlin (13355)",Bellatris Real Estate GmbH & Co. KG,1 Zimmer,20‚5 m²,https://www.immowelt.de/expose/cfefcb72-8aef-48a5-b280-f530ec228377
630 €,"Bärbel-Bohley-Ring 26, Gesundbrunnen, Berlin (13355)",Bellatris Real Estate GmbH & Co. KG,1 Zimmer,20‚5 m²,https://www.immowelt.de/expose/ccfd0cd3-9128-4d41-8020-c6aa1ae854e2
1200 €,"Zechliner Straße 1a, Gesundbrunnen, Berlin (13359)",HOMELIKE INTERNET GmbH,1 Zimmer,36‚5 m²,https://www.immowelt.de/expose/79f6a4f4-b974-42f7-8a12-93a272d90d44
1284 €,"Wriezener Straße, Gesundbrunnen, Berlin (13359)",HOMELIKE INTERNET GmbH,2 Zimmer,35 m²,https://www.immowelt.de/expose/28f79b09-82bb-4ea5-8975-061630f4f428
730 €,"Soldiner Straße, Gesundbrunnen, Berlin (13359)",HOMELIKE INTERNET GmbH,1 Zimmer,16 m²,https://www.immowelt.de/expose/413faa8b-77cf-4ad4-acbe-98f8be3cd2d5
730 €,"Soldiner Straße, Gesundbrunnen, Berlin (13359)",HOMELIKE INTERNET GmbH,1 Zimmer,16 m²,https://www.immowelt.de/expose/1e36d533-354a-499d-b51b-c9a576240824
680 €,"Silberberger Straße, Adlershof, Berlin (12489)",HOMELIKE INTERNET GmbH,1 Zimmer,13 m²,https://www.immowelt.de/expose/0fcbcb24-d26e-4800-ab47-c87e7b1482f6
1500 €,"Gesundbrunnen, Berlin (10439)",Ambius Immobilien GmbH,2 Zimmer,50 m²,https://www.immowelt.de/expose/ef3e8486-15b2-4c1d-918f-8a02d652c6fa
900 €,"Gesundbrunnen, Berlin (13359)",Ambius Immobilien GmbH,1 Zimmer,33 m²,https://www.immowelt.de/expose/f8942fb4-1007-458f-96f1-b148f3f62466
760 €,"Gesundbrunnen, Berlin (13357)",Tauschwohnung GmbH,2 Zimmer,78 m²,https://www.immowelt.de/expose/37a1fd2f-9d17-47d4-a078-1b256078150a
572 €,"Adlershof, Berlin (12489)",berlinraum,1 Zimmer,37‚9 m²,https://www.immowelt.de/expose/48549dfd-1c43-4401-92f6-35a74702b570
1290 €,"OsloerStrasse, Gesundbrunnen, Berlin (13359)",HOMELIKE INTERNET GmbH,1 Zimmer,50 m²,https://www.immowelt.de/expose/4a4ed875-ceb2-498b-afc5-88989384ea2d
613.06 €,"Soldiner Straße 5, Gesundbrunnen, Berlin (13359)",Vonovia Kundenservice GmbH,2 Zimmer,50‚2 m²,https://www.immowelt.de/expose/9e47672a-b0f8-45eb-a332-354eeb8d390b
380 €,"Adlershof, Berlin (12487)",Tauschwohnung GmbH,"1,5 Zimmer",47 m²,https://www.immowelt.de/expose/db6aee1d-511a-40a0-ad2d-6e7d2ce9295d
715 €,"Gesundbrunnen, Berlin (13357)",SchönLife Immobilien Inh. Daniel Kerem,1 Zimmer,38 m²,https://www.immowelt.de/expose/8bfd502c-0ff8-4674-9048-2672cbe9dd59
500 €,"Gesundbrunnen, Berlin (13347)",Tauschwohnung GmbH,2 Zimmer,50 m²,https://www.immowelt.de/expose/c0d14959-c52c-43a9-b321-b9b7ed0c0d29
650 €,"Zinsgutstraße, Adlershof, Berlin (12489)",HOMELIKE INTERNET GmbH,1 Zimmer,9 m²,https://www.immowelt.de/expose/56fd9952-3c2a-45f7-af6c-c4b9c0b000a1
600 €,"Hoffmannstraße, Adlershof, Berlin (12489)",HOMELIKE INTERNET GmbH,1 Zimmer,7 m²,https://www.immowelt.de/expose/e6f76e3f-862e-4b2b-8bfb-f7c28dbd41ed
690 €,"Zinsgutstraße, Adlershof, Berlin (12489)",HOMELIKE INTERNET GmbH,1 Zimmer,15 m²,https://www.immowelt.de/expose/1ae55796-e212-4ac6-b772-c8c0db0dcf82
650 €,"Prinzenallee, Gesundbrunnen, Berlin (13359)",HOMELIKE INTERNET GmbH,1 Zimmer,6 m²,https://www.immowelt.de/expose/bad28bbb-15ee-4a74-a875-5978585a3e0b
467 €,"Gesundbrunnen, Berlin (13359)",Tauschwohnung GmbH,2 Zimmer,61 m²,https://www.immowelt.de/expose/04c5c9e5-e3f0-4ccd-a4bb-37b0685f59a7
897 €,"Buttmannstraße 11, Gesundbrunnen, Berlin (13357)",HOMELIKE INTERNET GmbH,2 Zimmer,15‚8 m²,https://www.immowelt.de/expose/bb55b124-f5a4-4fce-859b-36e286ae3c04
417 €,"Adlershof, Berlin (12489)",Tauschwohnung GmbH,2 Zimmer,51 m²,https://www.immowelt.de/expose/2a500192-e451-4580-a8f3-614e7638663a
695 €,"Adlershof, Berlin (12489)",berlinraum,2 Zimmer,52‚3 m²,https://www.immowelt.de/expose/ffaadf65-f8cb-466c-8708-7bdf09f383b0
572 €,"Adlershof, Berlin (12489)",berlinraum,1 Zimmer,37‚9 m²,https://www.immowelt.de/expose/89d8f723-87d0-403a-ba3f-84804f631ab8
800 €,"Adlershof, Berlin (12489)",Tauschwohnung GmbH,2 Zimmer,69 m²,https://www.immowelt.de/expose/2a0b3b67-fc08-441f-84ec-5ee8c02fe922
365 €,"Gesundbrunnen, Berlin (13359)",Tauschwohnung GmbH,1 Zimmer,35 m²,https://www.immowelt.de/expose/2ce4a17f-bcc2-4ffe-9ef4-47cdd831f5f5
760 €,"Adlershof, Berlin (12489)",berlinraum,2 Zimmer,52‚3 m²,https://www.immowelt.de/expose/fb779782-c742-4c8d-8465-12eb6a5a63a8
